dataset,model,explainer,score,value
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,zero,0.6107707
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,inverse,0.55881757
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,mean,0.15535751
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,swap,0.25480878
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,zero,0.44351855
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,inverse,0.45791703
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,mean,0.07936959
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,swap,0.20595305
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,zero,0.59557366
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,inverse,0.5643758
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,mean,0.110635504
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,swap,0.18346211
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,zero,0.67842454
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,inverse,0.670944
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,mean,0.18148844
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,swap,0.22579241
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,zero,0.48274004
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,inverse,0.4129974
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,mean,0.08263356
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,swap,0.33186832
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,zero,0.39903882
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,inverse,0.44568294
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,mean,0.11486289
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,swap,0.27542943
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,zero,0.6224469
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,inverse,0.54667586
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,mean,0.10353586
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,swap,0.33443087
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,zero,0.62608516
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,inverse,0.59050876
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,mean,0.11255172
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,swap,0.22741432
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,zero,0.6813123
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,inverse,0.6837309
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,mean,0.098981105
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,swap,0.15735431
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,zero,0.56727636
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,inverse,0.6184762
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,mean,0.16155575
GunPointMaleVersusFemale,conv-relu-mlp,SmoothGRAD,swap,0.23307858
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,zero,0.66214156
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,inverse,0.67415005
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,mean,0.09802239
GunPointMaleVersusFemale,conv-relu-mlp,DeepSHAP,swap,0.25421497
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,zero,0.72721356
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,inverse,0.7263002
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,mean,0.17802098
GunPointMaleVersusFemale,conv-relu-mlp,GradientSHAP,swap,0.19807151
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,zero,0.24886462
GunPointMaleVersusFemale,conv-relu-mlp,LICOR,inverse,0.26652357
